KO,Bsal_1_15,Bsal_1_29,Bsal_2_15,Bsal_2_29,Bsal_3_15,Bsal_4_15,Bsal_4_29,
K07478,2,0,0,0,0,0,0,
K21990,0,0,0,0,0,0,0,
K01923,0,0,0,0,0,0,0,
K07287,0,0,0,0,0,0,0,
K01714,0,1,0,0,0,0,0,
K08281,0,0,0,0,2,0,0,
K03453,0,0,0,0,2,0,0,
K03327,0,0,0,0,0,0,0,
K00457,2,0,0,0,2,0,0,
K08234,0,2,0,0,0,0,0,
K01555,0,0,0,0,1,0,0,
K01801,0,0,0,0,0,0,0,
K11734,0,2,0,0,2,0,0,
K16568,0,0,0,0,0,0,0,
K05836,0,4,0,0,0,0,0,
K09975,1,0,0,0,0,0,0,
K01712,2,6,2,0,10,0,0,
K01745,0,0,0,0,2,0,0,
K16234,2,0,0,0,1,0,0,
K01468,0,0,0,0,3,0,0,
K01479,0,0,0,0,4,0,0,
K00820,0,0,0,0,0,0,0,
K01091,0,0,0,0,0,0,0,
K01776,0,0,0,0,0,0,0,
K04042,0,0,0,0,6,0,0,
K01095,0,0,0,0,0,0,0,
K00946,0,0,0,0,0,0,0,
K03625,0,0,0,0,0,0,0,
K14652,0,0,0,0,2,0,0,
K00794,0,0,0,0,0,0,0,
K01079,0,0,0,0,0,0,0,
K07560,0,0,0,0,0,0,0,
K03086,0,10,0,0,0,0,0,
K09158,0,2,5,0,0,0,2,
K03801,0,2,3,0,0,0,0,
K14052,0,0,0,0,2,0,0,
K03809,0,0,0,0,0,0,0,
K02892,1,2,2,0,0,0,1,
K02886,2,4,0,1,2,2,1,
K02965,0,0,0,0,0,1,0,
K02890,0,0,3,0,0,2,0,
K02982,2,2,1,0,3,3,0,
K02878,1,0,0,0,4,4,1,
K02904,0,0,0,0,0,1,0,
K02961,2,1,0,0,0,3,0,
K02874,2,4,2,1,2,2,0,
K02895,0,1,0,0,4,0,1,
K02931,0,0,2,0,0,0,0,
K02954,0,1,0,0,2,0,0,
K02994,0,2,0,0,2,0,0,
K02933,0,0,4,0,2,4,2,
K02881,0,0,0,3,0,1,1,
K02988,1,1,0,0,0,0,1,
K02907,0,0,0,0,0,0,0,
K02876,0,2,0,0,0,0,0,
K03076,2,18,0,0,2,5,0,
K02919,0,1,0,0,0,0,0,
K02952,0,2,0,1,0,2,0,
K01878,0,2,0,0,0,0,0,
K01879,0,0,0,0,0,0,0,
K09780,0,0,0,0,0,0,0,
K21959,0,0,0,0,2,0,0,
K01775,0,0,0,0,1,0,0,
K00285,0,0,0,0,0,2,0,
K03719,0,0,0,0,0,0,0,
K02014,0,0,0,0,0,0,0,
K09893,0,0,0,0,0,0,0,
K06177,2,2,0,0,0,0,0,
K08218,0,0,0,0,3,0,0,
K01759,0,0,0,0,0,0,0,
K14347,0,0,0,0,0,0,0,
K02909,0,0,0,0,0,0,0,
K23127,0,0,0,0,0,0,0,
K19810,0,0,0,0,0,0,0,
K02356,0,0,0,0,0,0,0,
K05297,0,0,0,0,0,0,0,
K04567,2,4,2,0,0,0,0,
K00957,0,0,0,0,0,0,0,
K00956,0,4,0,0,2,0,0,
K03634,0,0,0,2,0,0,0,
K01745,0,0,0,0,0,0,0,
K03641,1,4,0,0,0,0,0,
K03640,0,0,0,0,0,0,0,
K03841,0,0,4,0,2,0,0,
K03437,0,0,0,0,0,0,0,
K03088,0,0,0,0,0,0,0,
K03594,0,0,0,0,0,0,0,
K02192,0,0,0,0,0,0,0,
K09022,0,0,0,0,0,0,0,
K03060,0,0,0,0,0,0,0,
K00942,0,0,0,0,0,0,0,
K03527,0,0,0,0,0,0,0,
K11904,0,0,0,0,3,0,0,
K07262,0,0,0,0,0,0,0,
K07689,0,0,2,0,4,0,0,
K02668,0,0,0,0,0,0,0,
K02667,0,0,0,0,0,0,0,
K03797,0,0,0,0,0,0,0,
K15633,0,0,8,0,0,0,0,
K11720,4,0,1,0,6,0,0,
K07091,0,0,0,0,0,0,0,
K01255,0,0,0,0,0,0,0,
K02339,0,0,0,0,0,0,0,
K00793,0,0,0,0,0,0,0,
K07318,0,3,0,0,2,0,0,
K11752,0,2,0,0,2,0,0,
K03320,0,2,0,0,0,0,1,
K07738,0,0,0,0,0,0,0,
