,Temperature,Replicate,,,,
Bd_1_20,20,1,,,,
Bd_1_29,29,1,,,,
Bd_2_20,20,2,,,,
Bd_2_29,29,2,,,,
Bd_4_20,20,4,,,,
Bd_4_29,29,4,,,,
Bd_5_20,20,5,,,,
Bd_5_29,29,5,,,,
