KO,Bd_1_20,Bd_1_29,Bd_2_20,Bd_2_29,Bd_4_20,Bd_4_29,Bd_5_20,Bd_5_29
K01714,0,0,4,0,0,0,2,1
K08281,0,0,0,0,0,0,0,0
K03453,0,0,0,0,0,0,3,0
K03327,0,0,0,0,0,0,1,0
K00457,0,0,0,0,0,0,0,0
K08234,0,0,0,0,2,0,0,1
K01555,0,0,0,0,2,0,0,0
K01801,0,0,0,0,0,0,0,0
K11734,0,0,0,0,4,0,0,2
K16568,0,0,0,0,0,0,0,0
K05836,0,0,0,0,3,0,2,0
K09975,0,0,0,0,0,0,0,0
K01712,0,2,0,0,2,0,0,2
K01745,0,0,0,0,0,0,0,0
K16234,0,0,0,0,0,0,0,0
K01468,0,0,0,0,0,0,0,0
K01479,0,0,0,0,0,0,2,0
K00820,0,0,0,0,0,0,0,0
K01091,0,0,0,0,0,0,0,0
K01776,0,0,0,0,0,0,0,0
K04042,0,2,0,0,0,0,0,0
K01095,0,0,0,0,0,0,0,0
K00946,0,0,0,0,0,0,0,0
K03625,0,0,0,0,0,0,0,0
K14652,0,0,0,0,0,0,0,0
K00794,0,0,0,0,0,0,0,0
K01079,0,0,0,0,2,0,0,0
K07560,0,0,0,0,0,0,0,0
K03086,0,0,0,0,4,0,4,3
K09158,2,0,0,4,0,0,0,4
K03801,0,0,0,0,0,0,0,0
K14052,0,0,0,0,2,0,0,0
K03809,0,0,0,0,0,0,0,0
K02892,0,0,0,0,0,0,1,8
K02886,0,0,8,0,0,0,0,6
K02965,0,0,1,1,0,0,0,1
K02890,0,0,0,0,0,0,0,1
K02982,0,2,2,0,2,0,0,6
K02878,0,0,0,0,0,0,0,1
K02904,0,0,0,0,0,0,0,0
K02961,0,0,2,0,2,0,0,5
K02874,0,0,0,0,0,0,0,2
K02895,0,0,2,0,0,0,1,1
K02931,0,1,0,0,2,0,0,6
K02954,0,0,0,0,0,0,2,2
K02994,0,0,1,0,1,0,0,1
K02933,0,0,4,2,0,0,1,6
K02881,0,0,0,0,0,0,0,0
K02988,0,0,4,3,0,0,0,7
K02907,0,0,0,1,0,0,0,0
K02876,0,0,2,0,0,0,3,2
K03076,0,0,2,2,4,0,8,14
K02919,0,0,4,1,0,0,0,1
K02952,0,0,5,0,4,0,0,4
K01878,0,0,2,0,0,0,0,0
K01879,0,0,0,0,0,0,2,2
K09780,0,0,0,0,0,0,0,0
K21959,0,0,0,0,0,0,2,0
K01775,0,0,0,0,0,0,1,0
K00285,0,0,0,0,0,0,0,0
K03719,0,0,0,0,0,0,0,0
K02014,0,0,0,0,0,0,2,0
K09893,0,0,0,0,0,0,0,0
K06177,0,0,1,0,2,0,0,0
K08218,0,0,0,0,0,0,0,2
K01759,0,0,0,0,0,0,0,0
K14347,0,0,0,0,0,0,0,0
K02909,0,0,0,0,0,0,0,0
K23127,0,0,0,0,0,0,2,0
K19810,0,0,0,0,0,0,2,0
K02356,0,0,2,0,0,0,0,0
K05297,0,0,0,0,0,0,0,0
K04567,0,0,0,0,2,0,0,0
K00957,2,0,0,2,0,0,0,0
K00956,0,1,2,0,0,2,0,8
K03634,0,0,0,0,0,0,0,0
K01745,0,0,0,0,0,0,0,0
K03641,0,0,0,0,0,0,0,0
K03640,0,0,2,0,0,0,1,0
K03841,0,0,0,0,2,0,0,0
K03437,0,0,0,0,0,0,0,0
K03088,0,0,0,0,0,0,0,0
K03594,0,0,0,0,0,0,0,0
K02192,0,0,0,0,0,0,0,0
K09022,0,0,0,0,0,0,0,0
K03060,0,0,0,0,0,0,0,0
K00942,0,0,0,0,0,0,0,0
K03527,0,0,0,0,0,0,0,2
K11904,0,0,0,0,0,0,4,0
K07262,0,0,0,0,0,0,0,0
K07689,0,0,2,1,0,0,2,0
K02668,0,0,0,0,0,0,2,0
K02667,0,0,0,1,0,0,0,0
K03797,0,0,0,0,0,0,0,0
K15633,0,0,2,0,0,0,2,2
K11720,0,0,0,0,0,0,0,0
K07091,0,0,0,0,0,0,0,0
K01255,0,0,0,0,2,0,2,0
K02339,0,0,0,0,0,0,0,0
K00793,0,0,0,0,0,0,0,0
K07318,0,0,0,0,0,0,1,5
K11752,0,0,0,0,2,0,0,3
K03320,0,0,0,0,1,0,0,0
K07738,0,0,0,0,0,0,0,0
K04752,0,0,0,0,0,0,0,0
K09806,0,0,0,0,1,0,0,0
K07391,0,0,0,2,1,0,0,0
K00375,0,0,0,0,0,0,0,0
K19784,0,0,0,0,0,0,0,0
K01714,0,0,0,0,0,0,0,0
K01507,0,0,0,0,0,0,0,0
K01897,0,0,0,0,0,0,2,2
K02621,0,0,0,0,2,2,0,4
K08369,0,0,0,0,0,0,0,0
K09858,0,0,0,0,0,0,0,0
K22522,0,0,0,0,6,0,0,0
K18326,0,0,0,0,2,0,4,0
K07273,0,0,0,0,0,0,4,0
K02346,0,0,0,0,0,0,0,0
K09022,0,0,0,0,0,0,0,0
K03809,0,0,0,0,0,0,0,0
K01738,0,0,0,0,0,0,0,0
K01955,0,0,0,0,0,0,0,0
K01956,0,0,0,3,0,0,0,4
K07574,0,0,0,0,0,0,0,2
K02427,0,0,0,4,0,0,0,2
K01243,0,0,0,0,0,0,0,0
K11753,0,0,0,0,3,0,0,0
K01870,0,0,0,2,4,0,4,0
K03101,0,0,0,0,2,0,0,0
K03774,0,0,0,0,0,0,0,0
K03073,0,0,0,1,0,0,0,3
K02601,0,2,0,4,0,0,0,6
K02867,0,0,2,0,0,0,0,11
K02863,0,0,0,0,3,0,0,8
K02864,0,2,2,2,0,2,4,2
K02935,0,0,2,0,0,0,2,16
K03043,1,4,4,5,2,0,3,9
K01840,0,0,0,0,0,0,0,0
K01784,0,0,0,0,0,0,0,0
K01810,0,0,0,0,0,0,0,0
K00963,0,0,0,0,0,0,2,2
K00027,0,0,2,2,0,0,0,2
K00974,0,0,0,0,0,0,0,0
K04691,0,0,0,0,0,0,0,0
K04564,0,0,0,0,0,0,0,0
K00325,0,0,0,0,0,0,0,2
K00324,0,0,1,0,1,0,6,0
K05539,0,0,0,0,0,0,0,0
K03782,0,0,0,0,0,0,4,2
K13985,0,0,0,0,0,0,0,0
K05817,0,0,0,0,0,0,0,0
K01972,4,2,4,4,0,0,2,3
K03594,0,0,0,0,0,0,0,0
K03528,0,0,0,0,0,0,0,0
K02014,0,0,0,0,0,0,1,0
K01462,0,0,0,3,0,0,0,0
K01825,0,0,2,0,0,0,0,1
K12979,0,0,0,0,0,0,0,0
K10763,0,0,0,0,0,0,0,0
K01933,0,0,0,0,0,0,0,0
K11175,0,0,0,0,0,0,0,0
K04773,0,0,1,2,0,0,0,0
K02238,0,0,0,0,0,0,3,0
K02517,0,0,0,0,0,0,0,0
K09810,0,0,0,0,0,0,0,0
K09808,0,0,0,0,0,0,0,0
K09768,0,0,0,0,0,0,0,0
K00831,0,0,0,0,0,0,0,0
K01993,0,0,0,0,0,0,2,0
K20534,0,0,0,0,0,0,0,0
K02469,0,0,0,0,1,0,0,0
K03522,0,0,0,0,0,0,0,0
K03521,0,0,2,5,0,0,0,4
K03733,0,0,0,0,0,0,0,0
K05834,0,0,0,0,0,0,0,0
K01778,0,0,0,0,0,0,0,0
K01586,0,0,0,0,6,0,0,0
K11737,0,0,0,0,0,0,0,1
K03310,0,0,0,0,4,0,4,6
K04485,0,0,0,0,0,0,0,1
K04568,0,0,0,0,0,0,0,0
K03473,0,0,0,0,0,0,0,0
K02379,0,0,0,0,0,0,0,0
K00865,0,0,0,0,0,0,0,0
K15976,0,0,0,0,0,0,0,0
K06915,0,0,0,0,0,0,0,0
K02946,0,1,3,0,1,0,0,5
K02906,0,2,2,5,6,0,2,17
K02926,0,0,2,0,0,0,0,5
K03702,0,0,2,2,0,0,4,2
K03098,0,0,0,2,0,0,0,0
K05786,0,0,0,0,0,0,0,0
K11747,0,0,0,0,0,0,0,0
K03312,0,0,0,0,0,0,0,0
K03821,0,0,0,0,0,0,0,0
K01256,0,0,0,0,0,0,1,0
K05520,0,0,0,0,0,0,0,0
K02434,0,0,0,0,0,0,0,0
K01753,0,0,0,0,0,0,0,0
K13444,0,0,0,1,1,0,0,0
K05708,0,0,0,0,0,0,0,0
K05709,0,0,0,0,1,0,0,0
K05710,0,0,0,0,0,0,0,0
K05711,0,0,0,0,0,0,0,0
K05713,0,0,0,0,0,0,0,0
K06998,0,0,0,0,0,0,0,0
K08303,0,0,0,0,0,0,0,2
K00615,0,0,1,0,0,0,2,0
K07397,0,0,0,0,0,0,0,0
K11901,0,0,0,0,0,0,0,0
K02355,0,0,3,1,0,0,0,1
K02992,0,0,0,0,4,0,0,1
K02950,0,0,0,0,0,0,0,0
K08973,0,0,0,0,0,0,0,0
K01950,0,0,0,0,4,0,0,0
K00954,0,0,0,0,0,0,0,0
K03664,0,0,0,0,0,0,0,0
K03809,0,0,0,4,0,0,0,1
K05810,0,0,0,0,0,0,0,0
K06180,0,0,0,0,1,0,0,0
K05807,0,0,0,4,4,0,0,0
K02316,0,0,0,2,0,0,0,0
K02492,0,0,0,0,0,0,0,0
K02494,0,1,0,0,0,0,0,0
K00919,0,0,0,0,0,0,0,0
K00948,0,0,0,0,0,0,4,4
K02897,0,0,0,0,0,0,0,1
K01056,0,0,0,0,0,0,0,0
K01579,0,0,0,0,0,0,0,0
K02858,0,1,1,0,0,0,0,0
K01091,0,0,0,0,0,0,0,0
K00059,1,0,0,0,0,0,1,0
K02078,0,0,0,0,0,0,0,0
K00645,0,0,0,0,1,0,0,2
K07040,0,0,1,5,0,0,2,1
K02911,0,0,0,0,0,0,0,0
K09906,0,0,0,0,0,0,1,0
K07566,0,0,2,0,0,0,1,0
K05896,0,0,0,0,0,0,0,2
K06024,0,0,0,0,0,0,0,7
K06178,0,0,0,0,0,0,0,0
K01935,0,0,0,0,0,0,0,0
K02169,0,0,0,0,0,0,0,0
K00833,0,0,1,0,1,0,2,0
K02170,0,0,0,0,2,0,0,0
K01087,2,0,2,0,0,0,0,0
K00697,0,0,0,0,0,0,0,0
K01495,0,0,0,0,0,0,0,0
K01467,0,0,0,0,0,0,0,0
K00297,0,0,0,0,0,0,0,0
K09761,0,0,0,0,1,0,0,0
K21023,0,0,0,2,6,0,2,0
K11936,0,0,0,0,0,0,0,0
K18691,0,0,0,0,0,0,0,0
K04760,0,0,0,0,0,0,0,0
K08369,0,0,0,0,0,0,0,0
K03046,2,2,2,2,4,0,6,10
K07044,0,0,0,0,0,0,0,0
K07044,0,0,0,0,0,0,0,0
K21420,0,0,0,0,0,0,0,0
K03789,0,0,0,0,0,0,0,0
K12542,0,0,0,0,8,0,0,0
K03530,0,0,2,0,0,0,0,0
K13643,0,0,1,0,0,0,0,2
K04096,0,0,0,0,0,0,0,2
K07566,0,0,0,0,0,0,0,0
K08196,0,0,0,0,2,0,2,0
K01031,0,0,0,0,0,0,0,0
K01032,0,0,0,0,0,0,0,0
K04090,0,0,0,0,0,0,0,0
K20035,0,0,0,0,0,0,0,0
K01968,0,0,0,0,0,0,2,0
K01640,0,0,0,0,0,0,0,0
K13766,0,0,0,0,0,0,0,0
K01969,0,0,0,0,0,0,0,0
K00253,0,0,0,0,0,0,2,0
K00666,0,0,0,4,0,0,0,0
K15256,0,0,0,0,0,0,0,0
K05548,0,0,0,0,0,0,0,0
K03781,0,0,0,2,8,0,0,2
K03503,0,0,0,0,0,0,0,0
K03719,0,0,0,0,0,0,0,0
K06889,0,0,0,0,0,0,0,0
K01406,0,0,0,0,0,0,0,0
K00384,0,0,0,0,0,0,0,0
K00684,0,0,0,0,0,0,4,0
K00626,0,0,0,0,0,0,0,0
K07002,0,0,0,0,0,0,0,0
K09470,0,0,0,0,0,0,0,0
K07667,0,0,0,0,0,0,0,0
K03736,0,0,0,0,0,0,0,0
K03735,0,0,0,0,0,0,0,0
K07126,0,0,0,0,2,0,0,0
K07263,0,0,0,0,0,0,4,4
K00337,0,0,0,0,0,0,6,0
K00338,0,0,0,0,2,0,2,0
K00339,0,0,0,0,0,0,0,0
K00340,0,0,1,0,0,0,0,0
K00341,0,0,4,0,2,0,2,0
K00342,0,0,0,0,0,0,4,0
K00343,0,0,0,0,0,0,8,0
K00761,0,0,0,0,0,0,0,0
K01505,0,0,0,0,0,0,0,0
K03543,0,0,0,0,2,0,0,0
K01874,0,0,0,0,4,0,0,0
K05835,0,0,0,0,0,0,0,0
K03593,0,0,0,0,0,0,0,0
K01243,0,0,0,0,0,0,0,0
K09928,0,0,0,0,0,0,0,0
K01494,0,0,0,0,0,0,0,2
K05541,0,0,0,0,1,0,0,0
K03106,0,0,0,0,0,0,0,0
K03525,0,0,0,0,0,0,0,0
K03524,0,0,0,0,0,0,0,2
K07090,0,0,0,0,0,0,2,0
K20035,0,0,0,0,2,0,0,0
K13256,0,0,0,0,0,0,0,0
K23243,0,0,0,0,0,0,0,0
K20035,0,0,4,0,2,0,0,2
K07642,0,0,2,4,0,0,6,0
K08997,0,0,0,4,0,0,0,0
K07664,0,0,0,0,0,0,0,0
K00507,0,0,0,0,0,0,2,0
K01126,0,0,0,0,0,0,0,0
K03668,0,0,0,0,0,0,0,0
K02014,0,0,0,0,0,0,0,0
K00798,0,0,0,0,0,0,0,0
K01817,0,0,0,0,1,0,0,0
K01696,0,0,0,0,0,0,0,0
K07044,0,0,0,0,0,0,0,0
K01695,0,0,0,0,0,0,0,0
K01963,0,0,0,0,0,0,0,0
K11754,0,0,0,0,0,0,4,0
K13075,0,0,3,0,0,0,0,0
K24158,0,0,0,0,2,0,0,0
K03070,0,0,0,2,2,0,0,2
K11068,0,0,0,0,0,0,0,0
K01782,0,0,0,0,0,0,0,0
K02348,0,0,0,0,0,0,0,0
K00626,0,0,2,0,0,0,0,0
K03208,0,0,0,0,0,0,0,0
K02472,0,0,0,0,4,0,0,0
K01791,0,0,0,0,0,0,2,0
K02474,0,0,0,0,0,0,1,0
K01991,0,2,0,0,4,0,0,0
K25307,0,0,0,2,0,0,0,0
K16692,0,0,0,2,0,0,4,2
K03980,0,0,0,0,0,0,0,0
K03772,0,0,0,0,0,0,0,0
K03772,0,0,0,0,0,0,0,0
K03806,0,0,0,0,0,0,0,0
K01114,1,0,0,0,1,0,0,1
K00767,0,0,0,0,0,0,0,0
K00989,0,0,0,0,0,0,0,0
K22769,0,0,0,0,0,0,0,0
K22770,0,0,2,0,0,0,0,10
K22105,0,0,0,0,0,0,0,0
K03673,0,0,0,1,0,0,0,0
K00568,0,0,0,0,0,0,2,0
K22292,0,0,0,0,0,0,0,0
K23243,0,0,0,4,0,0,0,14
K23243,0,0,6,12,2,0,0,8
K14682,0,0,0,0,0,0,0,0
K15553,0,0,0,0,1,0,4,0
K15553,0,0,0,0,1,0,0,0
K04091,0,0,0,0,0,0,0,0
K15554,0,0,0,0,1,0,0,0
K15555,0,0,0,0,0,0,0,0
K09017,0,0,0,0,0,0,0,0
K02031,0,0,0,0,0,0,0,0
K02034,0,0,0,0,0,0,0,2
K02035,0,0,0,0,0,0,0,0
K02014,0,0,0,0,2,0,0,2
K03832,0,0,0,1,0,0,0,0
K03561,0,0,0,0,0,0,0,0
K03559,0,0,0,0,0,0,0,0
K03559,0,0,0,0,0,0,0,0
K06916,0,0,3,2,0,0,0,0
K01591,0,0,0,0,0,0,0,0
K02945,0,0,3,6,0,0,1,2
K08992,0,0,0,0,0,0,0,0
K05788,0,0,0,0,0,0,0,0
K00945,0,0,4,16,0,0,2,3
K11991,0,0,0,0,0,0,0,0
K03648,0,0,0,0,0,0,1,0
K01737,0,0,0,0,0,0,1,0
K02460,0,0,0,0,2,0,0,0
K02459,0,0,0,0,0,0,0,0
K02458,0,0,0,0,0,0,0,0
K03424,0,0,0,0,1,0,0,0
K02341,2,0,0,0,0,0,0,0
K02676,0,0,0,0,0,0,0,0
K00979,0,0,0,0,0,0,0,0
K00912,0,0,0,0,0,0,0,0
K11085,0,0,0,0,0,0,0,0
K03559,0,0,0,0,1,0,0,0
K03561,0,0,0,0,0,0,1,0
K03497,0,0,0,0,0,0,0,0
K03791,0,0,0,0,0,0,0,0
K05820,0,0,0,0,0,0,0,0
K01961,0,0,0,0,0,0,0,0
K02160,0,0,0,0,0,0,0,0
K03502,0,0,0,0,0,0,0,0
K03786,0,0,0,0,0,0,0,0
K02014,0,0,0,0,0,0,0,0
K23374,0,0,0,0,0,0,0,0
K23376,0,0,0,0,0,0,0,0
K23361,0,0,0,0,0,0,0,0
K23375,0,0,0,0,0,0,0,0
K21721,0,0,0,0,0,0,0,0
K21949,0,0,0,0,1,0,0,0
K07183,0,0,0,0,3,0,2,2
K00362,0,0,0,0,0,0,0,0
K00362,0,0,0,0,0,0,0,0
K00372,0,0,0,0,2,0,0,0
K03752,0,0,0,0,0,0,1,0
K03639,0,0,0,0,1,0,0,0
K03635,0,0,0,0,0,0,2,0
K03637,0,0,0,0,0,0,2,0
K03750,0,0,0,0,0,0,0,0
K07235,0,0,0,0,0,0,0,0
K01679,0,0,0,2,2,0,0,0
K00285,0,0,1,1,0,0,0,0
K01770,0,0,0,0,0,0,0,0
K00611,0,0,0,0,0,0,1,0
K18137,0,0,0,0,0,0,1,0
K07712,0,0,0,0,0,0,0,0
K07708,0,0,0,0,0,0,0,0
K14441,0,0,0,0,2,0,0,0
K09903,0,0,2,0,0,0,0,0
K02838,0,0,0,0,2,0,0,0
K00806,0,0,0,0,0,0,0,2
K00981,0,0,0,4,0,0,2,0
K00099,0,0,0,0,0,0,2,2
K11749,0,0,0,0,0,0,0,0
K07277,0,0,0,0,2,0,0,1
K06142,0,0,0,0,7,0,2,0
K02536,0,0,1,1,0,0,2,0
K02372,0,0,0,1,0,0,0,0
K00677,0,0,0,0,0,0,0,0
K03553,0,0,0,1,0,0,0,4
K03565,0,0,0,0,0,0,0,0
K04762,0,0,0,0,0,0,0,1
K20881,0,0,4,0,1,0,0,0
K03790,0,0,0,0,0,0,0,0
K03719,0,0,0,0,0,0,2,0
K01556,0,0,0,0,0,0,0,0
K01432,0,0,0,0,0,0,0,0
K03321,0,0,0,0,0,0,0,0
K21023,0,0,0,0,0,0,0,4
K21430,0,0,0,0,0,0,0,0
K07090,0,0,0,0,0,0,0,0
K02770,0,0,0,0,0,0,2,2
K23993,0,0,0,0,4,0,0,0
K00882,0,0,0,0,0,0,0,0
K03311,0,0,0,5,0,0,0,0
K11477,0,0,0,0,0,0,0,0
K01265,0,0,0,0,0,0,0,0
K07390,0,0,0,0,0,0,0,0
K00821,0,0,0,0,0,0,0,0
K03110,0,0,0,0,0,0,0,0
K07078,0,0,0,0,0,0,0,0
K09909,0,0,0,0,0,0,0,0
K00426,0,0,0,0,0,0,0,0
K00425,0,0,0,0,0,0,0,0
K00856,0,0,0,0,0,0,0,0
K16090,0,0,0,0,4,0,3,0
K06972,0,0,0,0,0,0,0,0
K03498,0,0,0,0,0,0,0,0
K01058,0,0,0,0,0,0,0,0
K02517,0,0,0,0,0,0,0,4
K03704,0,0,0,0,0,0,0,0
K05834,0,0,0,0,1,0,0,0
K03601,0,0,0,0,4,0,0,0
K03602,0,0,0,0,0,0,0,0
K17686,0,0,0,0,0,0,0,0
K19591,0,0,0,0,0,0,0,0
K21757,0,0,2,0,0,0,5,8
K05549,0,0,0,1,0,2,0,0
K05550,0,0,0,0,0,0,2,0
K05784,0,0,0,0,0,0,0,0
K05783,0,0,0,0,0,0,0,0
K05782,0,0,0,0,2,0,0,0
K05548,0,0,0,0,0,0,0,0
K03578,0,0,0,0,0,0,0,0
K21758,0,0,0,0,0,0,0,0
K16872,0,0,0,0,0,0,0,0
K00496,0,0,0,0,0,0,0,2
K24119,0,0,0,0,0,0,0,0
K03387,0,0,1,0,2,0,0,0
K07004,0,0,0,0,0,0,0,0
K00799,0,0,0,0,0,0,0,0
K01406,0,0,0,0,0,0,0,0
K03439,0,0,0,0,0,0,0,0
K05539,0,0,0,0,0,0,0,0
K01681,0,0,0,0,0,0,0,1
K22132,0,0,0,0,0,0,0,0
K03424,0,0,0,0,0,0,2,0
K02837,0,0,0,0,0,0,0,0
K21023,0,0,0,0,0,0,0,4
K00053,0,0,0,0,0,0,0,2
K01652,0,0,0,0,2,0,0,0
K01653,0,0,0,0,0,0,0,0
K01869,0,2,2,0,0,0,0,0
K03643,0,0,0,0,0,0,0,0
K02340,0,0,0,0,2,0,2,0
K13888,0,0,2,0,2,0,2,0
K05685,0,0,2,0,0,0,0,4
K00208,0,0,0,0,0,0,0,1
K13288,0,0,0,0,2,0,0,0
K06949,0,0,2,0,0,0,0,0
K03676,0,0,0,1,0,0,0,0
K06133,0,0,0,0,0,0,0,0
K03071,0,0,0,0,0,0,0,0
K00059,0,0,0,0,0,0,0,0
K00647,0,0,0,0,2,0,0,0
K00375,0,0,0,0,0,0,0,0
K07734,0,0,0,0,0,0,0,0
K22479,0,0,0,0,0,0,0,0
K13929,0,0,0,0,0,0,4,2
K13930,0,0,0,0,0,0,0,0
K13931,0,0,0,0,0,0,0,0
K13932,0,0,0,0,0,0,2,2
K13933,0,0,0,1,0,0,0,0
