Feature_ID,Domain,Phylum,Class,Order,Family,Genus,Species,Confidence
b58eaa9377805fa6595593b92e295305,Bacteria,Bacteroidota,Bacteroidia,,,,,0.9968409662
076c5357efe0d55368b33c7efbf406aa,Bacteria,Bacteroidota,Bacteroidia,,,,,0.9551436342
b57fcdf5ce7eebeedf52b752699f9ed4,Bacteria,Bacteroidota,Bacteroidia,,,,,0.9993567946
65b4079848f8a9289e33195f89d72b0f,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,,0.9470598567
248045a07866105e7c7d4c2699475fcd,Bacteria,Bacteroidota,Bacteroidia,,,,,0.9986672895
82f3fae38da00d53492315ac83b83be7,Bacteria,Bacteroidota,Bacteroidia,,,,,0.9992949715
2b08db18c0cb613b7ba765e880c4ff1d,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,,0.9719445831
3980d24183caccbafc8fb8854d3fcb51,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,,,0.9528914235
ce240994dc69290d96563740775cdd94,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,,,0.7956131018
c0aef2df028014e8c7a97fd453df67a0,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,,0.942921217
da128af15ce90bc7f9e451d49953be99,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,,,0.7768667962
da33537f02a3edd48f10266e9e8e908d,Bacteria,Bacteroidota,Bacteroidia,,,,,0.9805034642
8298263e087e0e1c1dd3791c88a8e6d1,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,,,0.973092572
5b1e6082f1a44b6c16754ad5a1792643,Bacteria,Bacteroidota,Bacteroidia,,,,,0.9983201109
52db5e231811243f21416c41479446b1,Bacteria,Bacteroidota,Bacteroidia,,,,,0.9984701571
610e2fb2435a641fd7dda5e39337b12f,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,,,,0.8406163014
6963b0f9fb96980697a2d1cf67da96ae,Bacteria,Bacteroidota,Bacteroidia,,,,,0.9507885425
1b153beeaeae7ca9c9b43f58d523c269,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,,0.8414215726
83eb5015712ee5d1259ceed8805a7cdf,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,,0.9355916551
3b32b229a9cf3714a54b6060e83e377e,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,0.8714330114
e048f6f41df155c14731d56012bb7094,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,0.7736269908
2faa5ada70f523f0483f19876fd5034e,Bacteria,Bacteroidota,Bacteroidia,,,,,0.9977389406
069e5491883925414ca551b065364a9b,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Weeksellaceae,Chryseobacterium,,0.704421235
0acf2aea73d13b6d2757c98b1f4befdf,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,,0.9568690156
74123b9f2f216897bed02af17f5e0d89,Bacteria,Bacteroidota,Bacteroidia,,,,,0.8754918907
92d69aee8be266a33fb1731f9a5c6497,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,67-14,,0.9998931798
798dd1d017d7fe598e671281df3cbef9,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,,0.9967798716
fc8ff1589bce80d718ad448e2f3996ca,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Rhodococcus,,0.9938122983
