Contents,Replicate,Temperature,Day,ZGE,Well_Number_PCR,Plate,Category,logZGE
Bsal_Synth,4,18,18,18941,E6,2,18941,9.84908416365674
Bsal_Synth,5,18,18,53651,E7,2,53651,10.8902553872141
Bsal_Synth,1,15,0,18934922,E11,2,18934922,16.7565184999539
Bsal_Synth,2,15,0,1244153,E12,2,1244153,14.0339655350723
Bsal_Synth,3,15,0,3182060,F1,2,3182060,14.9730393437675
Bsal_Synth,4,15,0,10615739,F2,2,10615739,16.1778482691607
Bsal_Synth,5,15,0,19243348,F3,2,19243348,16.7726760005374
Bsal_Synth,1,15,6,3969044,F7,2,3969044,15.1940358176196
Bsal_Synth,2,15,6,8100333,F8,2,8100333,15.9074157299087
Bsal_Synth,3,15,6,11752361,F9,2,11752361,16.2795647145397
Bsal_Synth,4,15,6,9554430,F10,2,9554430,16.072515479246
Bsal_Synth,5,15,6,10101708,F11,2,10101708,16.1282150764251
Bsal_Synth,1,15,12,714258,G3,2,714258,13.4789995205903
Bsal_Synth,2,15,12,1124523,G4,2,1124523,13.9328695037072
Bsal_Synth,3,15,12,372483,G5,2,372483,12.8279466781764
Bsal_Synth,4,15,12,394199,G6,2,394199,12.8846111369142
Bsal_Synth,5,15,12,890034,G7,2,890034,13.6990149432258
Bsal_Synth,1,15,18,101318,G11,2,101318,11.5260193644814
Bsal_Synth,2,15,18,52534,G12,2,52534,10.8692158580126
Bsal_Synth,3,15,18,13478,H1,2,13478,9.50881400550616
Bsal_Synth,4,15,18,73716,H2,2,73716,11.2079751509519
Bsal_Synth,5,15,18,258456,H3,2,258456,12.4624807456768
